epsilon,U,U_xi
0.01,5.310806552664054e-05,5.3378365443739644e-05
0.01,5.321492962083364e-05,5.348577343582265e-05
0.01,5.332200873401877e-05,5.359339754126418e-05
0.01,5.342930330476752e-05,5.3701238200868006e-05
0.01,5.353681377165108e-05,5.38092958554375e-05
0.01,5.364454057324105e-05,5.391757094577641e-05
0.01,5.375248414810873e-05,5.402606391268823e-05
0.01,5.386064493482542e-05,5.413477519697642e-05
0.01,5.3969023371962715e-05,5.4243705239444746e-05
0.01,5.4077619898091826e-05,5.435285448089659e-05
0.01,5.418643495178433e-05,5.446222336213571e-05
0.01,5.429546897161153e-05,5.457181232396558e-05
0.01,5.4404722396144744e-05,5.468162180718967e-05
0.01,5.451419566395555e-05,5.479165225261174e-05
0.01,5.462388921361524e-05,5.490190410103528e-05
0.01,5.4733803483695145e-05,5.5012377793263735e-05
0.01,5.4843938912766826e-05,5.512307377010089e-05
0.01,5.495429593982632e-05,5.523399247277709e-05
0.01,5.506487501147161e-05,5.534513435016336e-05
0.01,5.517567658076703e-05,5.545649985762994e-05
0.01,5.5286701100977206e-05,5.556808945074844e-05
0.01,5.539794902536708e-05,5.567990358509075e-05
0.01,5.550942080720131e-05,5.579194271622848e-05
0.01,5.562111689974453e-05,5.590420729973322e-05
0.01,5.5733037756261696e-05,5.601669779117688e-05
0.01,5.584518383001734e-05,5.6129414646130966e-05
0.01,5.595755557427642e-05,5.624235832016737e-05
0.01,5.607015344230357e-05,5.635552926885769e-05
0.01,5.618297788736344e-05,5.646892794777353e-05
0.01,5.629602936272097e-05,5.658255481248679e-05
0.01,5.6409308321640816e-05,5.669641031856907e-05
0.01,5.652281521738762e-05,5.681049492159199e-05
0.01,5.6636550503226315e-05,5.692480907712743e-05
0.01,5.675051463243043e-05,5.7039353240755915e-05
0.01,5.686470806225337e-05,5.71541278720581e-05
0.01,5.697913125970061e-05,5.726913344041637e-05
0.01,5.7093784693222384e-05,5.7384370416665194e-05
0.01,5.7208668831269284e-05,5.74998392716394e-05
0.01,5.7323784142291545e-05,5.761554047617349e-05
0.01,5.743913109473943e-05,5.773147450110197e-05
0.01,5.75547101570635e-05,5.784764181725964e-05
0.01,5.767052179771391e-05,5.796404289548091e-05
0.01,5.778656648514124e-05,5.808067820660057e-05
0.01,5.790284468779572e-05,5.819754822145316e-05
0.01,5.801935687412763e-05,5.8314653410873156e-05
0.01,5.8136103512587526e-05,5.843199424569538e-05
0.01,5.825308507162567e-05,5.854957119675432e-05
0.01,5.83703020196923e-05,5.8667384734884494e-05
0.01,5.8487754825238004e-05,5.8785435330920706e-05
0.01,5.860544395671293e-05,5.890372345569736e-05
0.01,5.872336988377078e-05,5.902224958125854e-05
0.01,5.8841533085843204e-05,5.914101418947601e-05
0.01,5.895993404704799e-05,5.9260017766931574e-05
0.01,5.907857325153009e-05,5.937926080023429e-05
0.01,5.919745118343413e-05,5.949874377599291e-05
0.01,5.9316568326904736e-05,5.96184671808162e-05
0.01,5.9435925166086864e-05,5.9738431501313226e-05
0.01,5.955552218512502e-05,5.985863722409263e-05
0.01,5.967535986816416e-05,5.997908483576349e-05
0.01,5.97954386993489e-05,6.0099774822934554e-05
0.01,5.9915759162823884e-05,6.022070767221458e-05
0.01,6.0036321742734044e-05,6.034188387021264e-05
0.01,6.015712692322402e-05,6.046330390353748e-05
0.01,6.027817518843843e-05,6.058496825879786e-05
0.01,6.039946702252222e-05,6.0706877422602854e-05
0.01,6.052100290961991e-05,6.0829031881561095e-05
0.01,6.064278333401946e-05,6.09514321224254e-05
0.01,6.076480878653664e-05,6.107407863850962e-05
0.01,6.088707976690539e-05,6.119697193209118e-05
0.01,6.100959677549088e-05,6.13201125060819e-05
0.01,6.113236031265788e-05,6.144350086339326e-05
0.01,6.125537087877121e-05,6.156713750693675e-05
0.01,6.137862897419598e-05,6.169102293962417e-05
0.01,6.150213509929691e-05,6.18151576643669e-05
0.01,6.16258897544391e-05,6.193954218407677e-05
0.01,6.17498934399874e-05,6.206417700166526e-05
0.01,6.18741466563066e-05,6.218906262004383e-05
0.01,6.19986499037618e-05,6.231419954212432e-05
0.01,6.21234036827178e-05,6.243958827081818e-05
0.01,6.224840849353945e-05,6.256522930903695e-05
0.01,6.237366483659185e-05,6.26911231596924e-05
0.01,6.249917321223972e-05,6.281727032569593e-05
0.01,6.262493412084783e-05,6.294367130995902e-05
0.01,6.275094806545732e-05,6.307032661808307e-05
